Date,State,Region,Confirmed,Deaths,Recovered
30-03-20,,Slovakia,336,0,7
30-03-20,,Slovenia,756,11,10
30-03-20,,Somalia,3,0,0
30-03-20,,South Africa,1326,3,31
30-03-20,,Spain,87956,7716,16780
30-03-20,,Sri Lanka,122,2,15
30-03-20,,Sudan,6,2,0
30-03-20,,Suriname,8,0,0
30-03-20,,Sweden,4028,146,0
30-03-20,,Switzerland,15922,359,1823
30-03-20,,Taiwan*,306,5,39
30-03-20,,Tanzania,19,0,1
30-03-20,,Thailand,1524,9,229
30-03-20,,Togo,30,1,1
30-03-20,,Trinidad and Tobago,82,3,1
30-03-20,,Tunisia,312,8,3
30-03-20,,Turkey,10827,168,162
30-03-20,,Uganda,33,0,0
30-03-20,,Ukraine,548,13,8
30-03-20,,United Arab Emirates,611,5,61
30-03-20,Bermuda,United Kingdom,27,0,2
30-03-20,Cayman Islands,United Kingdom,12,1,0
30-03-20,Channel Islands,United Kingdom,141,2,0
30-03-20,Gibraltar,United Kingdom,69,0,34
30-03-20,Isle of Man,United Kingdom,49,0,0
30-03-20,Montserrat,United Kingdom,5,0,0
30-03-20,,United Kingdom,33969,2044,135
30-03-20,,Uruguay,320,1,0
30-03-20,,US,162707,4381,5644
30-03-20,,Uzbekistan,149,2,7
30-03-20,,Venezuela,135,3,39
30-03-20,,Vietnam,203,0,55
30-03-20,,Zambia,35,0,0
30-03-20,,Zimbabwe,7,1,0
30-03-20,,Dominica,11,0,0
30-03-20,,Grenada,9,0,0
30-03-20,,Mozambique,8,0,0
30-03-20,,Syria,10,2,0
30-03-20,,Timor-Leste,1,0,0
30-03-20,,Belize,3,0,0
30-03-20,,Laos,8,0,0
30-03-20,,Libya,8,0,0
30-03-20,,West Bank and Gaza,116,1,18
30-03-20,,Guinea-Bissau,8,0,0
30-03-20,,Mali,25,2,0
30-03-20,,Saint Kitts and Nevis,7,0,0
30-03-20,Northwest Territories,Canada,1,0,0
30-03-20,Yukon,Canada,4,0,0
30-03-20,,Kosovo,94,1,1
30-03-20,,Burma,14,0,0
30-03-20,Anguilla,United Kingdom,2,0,0
30-03-20,British Virgin Islands,United Kingdom,2,0,0
30-03-20,Turks and Caicos Islands,United Kingdom,5,0,0
30-03-20,,Botswana,3,0,0
30-03-20,,Burundi,0,0,0
30-03-20,,Sierra Leone,0,0,0
30-03-20,,Malawi,0,0,0
30-03-20,Falkland Islands (Malvinas),United Kingdom,0,0,0
30-03-20,Saint Pierre and Miquelon,France,0,0,0
30-03-20,,South Sudan,0,0,0
30-03-20,,Western Sahara,0,0,0
30-03-20,,Sao Tome and Principe,0,0,0
30-03-20,,Yemen,0,0,0
30-03-20,,Comoros,0,0,0
30-03-20,,Tajikistan,0,0,0
30-03-20,,Lesotho,0,0,0
31-03-20,,Afghanistan,174,4,5
31-03-20,,Albania,243,15,52
31-03-20,,Algeria,716,44,46
31-03-20,,Andorra,376,12,10
31-03-20,,Angola,7,2,1
31-03-20,,Antigua and Barbuda,7,0,0
31-03-20,,Argentina,1054,27,240
31-03-20,,Armenia,532,3,30
31-03-20,Australian Capital Territory,Australia,80,1,3
31-03-20,New South Wales,Australia,2032,8,4
31-03-20,Northern Territory,Australia,17,0,0
31-03-20,Queensland,Australia,743,2,8
31-03-20,South Australia,Australia,337,0,6
31-03-20,Tasmania,Australia,69,1,5
31-03-20,Victoria,Australia,917,4,291
31-03-20,Western Australia,Australia,364,2,41
31-03-20,,Austria,10180,128,1095
31-03-20,,Azerbaijan,298,5,26
31-03-20,,Bahamas,14,0,1
31-03-20,,Bahrain,567,4,295
31-03-20,,Bangladesh,51,5,25
31-03-20,,Barbados,34,0,0
31-03-20,,Belarus,152,1,47
31-03-20,,Belgium,12775,705,1696
31-03-20,,Benin,9,0,1
31-03-20,,Bhutan,4,0,0
31-03-20,,Bolivia,107,6,0
31-03-20,,Bosnia and Herzegovina,420,13,17
31-03-20,,Brazil,5717,201,127
31-03-20,,Brunei,129,1,45
31-03-20,,Bulgaria,399,8,17
31-03-20,,Burkina Faso,261,14,32
31-03-20,,Cabo Verde,6,1,0
31-03-20,,Cambodia,109,0,23
31-03-20,,Cameroon,193,6,5
31-03-20,Alberta,Canada,690,8,0
31-03-20,British Columbia,Canada,1013,24,0
31-03-20,Manitoba,Canada,103,1,0
31-03-20,New Brunswick,Canada,70,0,0
31-03-20,Newfoundland and Labrador,Canada,152,1,0
31-03-20,Nova Scotia,Canada,147,0,0
31-03-20,Ontario,Canada,1966,33,0
31-03-20,Prince Edward Island,Canada,21,0,0
31-03-20,Quebec,Canada,4162,31,0
31-03-20,Saskatchewan,Canada,184,2,0
31-03-20,,Central African Republic,3,0,0
31-03-20,,Chad,7,0,0
31-03-20,,Chile,2844,12,156
31-03-20,Anhui,China,990,6,984
31-03-20,Beijing,China,580,8,418
31-03-20,Chongqing,China,579,6,570
31-03-20,Fujian,China,343,1,295
31-03-20,Gansu,China,138,2,125
31-03-20,Guangdong,China,1494,8,1356
31-03-20,Guangxi,China,254,2,250
31-03-20,Guizhou,China,146,2,144
31-03-20,Hainan,China,168,6,168
31-03-20,Hebei,China,321,6,0
31-03-20,Heilongjiang,China,484,13,469
31-03-20,Henan,China,1276,22,0
31-03-20,Hong Kong,China,714,4,128
31-03-20,Hubei,China,67801,3187,63153
31-03-20,Hunan,China,1018,4,1014
31-03-20,Inner Mongolia,China,107,1,74
31-03-20,Jiangsu,China,646,0,631
31-03-20,Jiangxi,China,937,1,935
31-03-20,Jilin,China,98,1,92
31-03-20,Liaoning,China,139,2,124
31-03-20,Macau,China,41,0,10
31-03-20,Ningxia,China,75,0,75
31-03-20,Qinghai,China,18,0,18
31-03-20,Shaanxi,China,253,3,242
31-03-20,Shandong,China,774,7,753
31-03-20,Shanghai,China,509,5,341
31-03-20,Shanxi,China,136,0,133
31-03-20,Sichuan,China,550,3,536
31-03-20,Tianjin,China,174,3,135
